,price
2081,500.0
24942,181.0
12024,500.0
6526,301.0
21842,120.0
1907,138.0
24746,96.0
17306,50.0
7005,65.0
22063,111.0
20215,284.0
23043,181.0
12521,187.0
10047,558.0
9749,46.0
8852,75.0
8501,150.0
3308,218.0
20050,90.0
15077,54.0
6602,351.0
3727,61.0
1104,15.0
9978,61.0
14268,150.0
10880,50.0
20472,75.0
5277,249.0
20206,301.0
5796,140.0
7670,275.0
9267,50.0
12331,90.0
2400,109.0
18630,66.0
5830,108.0
26963,55.0
157,139.0
4492,175.0
29198,61.0
5696,249.0
15994,181.0
8462,480.0
4649,301.0
4222,47.0
4105,200.0
4825,94.0
29420,249.0
7881,200.0
4657,61.0
9901,301.0
18240,80.0
20223,181.0
17037,109.0
26913,301.0
19680,400.0
20131,120.0
16929,40.0
19199,111.0
26359,169.0
25424,111.0
21234,85.0
17115,35.0
20116,634.0
22514,181.0
25706,210.0
29162,40.0
12837,253.0
6078,104.0
22082,200.0
29651,185.0
21207,181.0
8833,135.0
21237,249.0
12884,109.0
570,146.0
14211,147.0
827,70.0
14929,175.0
27088,140.0
24624,70.0
19718,249.0
12286,70.0
14638,111.0
8506,69.0
22253,440.0
6982,450.0
28763,220.0
5188,40.0
15512,181.0
24173,75.0
2412,50.0
25966,19.0
10636,59.0
30637,61.0
28221,135.0
16322,155.0
27259,80.0
2131,111.0
16014,200.0
19226,460.0
10197,116.0
3463,98.0
10025,119.0
13797,111.0
17492,90.0
553,115.0
23009,181.0
29047,28.0
9450,30.0
10164,135.0
8782,85.0
12727,225.0
9864,50.0
5358,249.0
2486,270.0
2596,50.0
6521,150.0
26616,181.0
17837,80.0
4030,93.0
19351,146.0
6425,85.0
1031,380.0
28457,100.0
1481,120.0
25440,67.0
24795,61.0
6491,127.0
10337,67.0
3554,240.0
29991,61.0
17134,280.0
29903,70.0
24543,150.0
29520,120.0
29919,146.0
9090,799.0
14905,100.0
24362,50.0
19013,140.0
28917,58.0
3360,150.0
21083,140.0
5436,115.0
4979,44.0
5778,675.0
19407,169.0
2991,65.0
22750,70.0
14794,430.0
23000,164.0
2969,181.0
9648,80.0
20648,65.0
6230,700.0
23430,120.0
8559,90.0
21847,146.0
7694,59.0
18707,299.0
1589,135.0
3975,80.0
21666,65.0
28140,129.0
5940,570.0
10333,209.0
18182,400.0
20324,94.0
16516,500.0
26221,174.0
22281,248.0
16561,80.0
11799,143.0
364,150.0
14757,100.0
28686,39.0
15504,111.0
20735,200.0
19842,61.0
1503,100.0
14120,67.0
22910,97.0
27489,400.0
2826,380.0
28347,120.0
20795,100.0
9596,111.0
29626,622.0
17016,129.0
22246,111.0
11809,146.0
23490,351.0
10421,105.0
27124,61.0
18033,61.0
26098,98.0
26264,135.0
22847,40.0
4520,85.0
5567,181.0
23249,400.0
1124,140.0
1387,200.0
14008,120.0
24938,61.0
19686,289.0
11523,430.0
29144,599.0
30144,200.0
18453,107.0
25791,150.0
22517,40.0
20728,301.0
18976,351.0
14702,70.0
11092,104.0
5363,89.0
18511,129.0
30675,179.0
19704,80.0
1250,189.0
22662,249.0
26174,92.0
24110,249.0
1378,135.0
3742,200.0
10522,400.0
10837,100.0
1502,100.0
2394,140.0
2690,160.0
2930,400.0
4638,135.0
19454,195.0
29126,44.0
27530,440.0
28761,260.0
860,44.0
18952,100.0
5665,200.0
12587,50.0
29911,200.0
25555,181.0
27244,80.0
20791,181.0
8832,154.0
13980,351.0
11842,138.0
21708,80.0
16597,70.0
10980,164.0
9822,150.0
3699,80.0
26260,18.0
2863,61.0
30636,100.0
19517,301.0
16832,65.0
26365,59.0
18564,44.0
25094,120.0
13700,175.0
5492,164.0
17419,175.0
6407,150.0
3723,150.0
13472,289.0
20761,39.0
25243,80.0
18193,799.0
11185,129.0
7538,280.0
7528,150.0
4771,179.0
26658,150.0
1051,200.0
27222,125.0
5773,301.0
12467,301.0
1057,150.0
12407,200.0
28175,42.0
19233,98.0
19331,298.0
21688,460.0
26584,128.0
14022,140.0
20544,231.0
3564,690.0
41,170.0
15216,181.0
3117,58.0
20077,80.0
12155,280.0
20562,70.0
19699,155.0
24598,249.0
4881,260.0
4745,600.0
10462,50.0
1023,94.0
27292,55.0
22325,65.0
29388,150.0
1546,351.0
2473,80.0
3263,100.0
10947,75.0
17709,100.0
5291,360.0
30063,150.0
7148,70.0
9681,351.0
23252,150.0
9523,325.0
26912,108.0
5432,181.0
3484,849.0
2054,750.0
2186,75.0
8750,129.0
14589,225.0
2799,105.0
9769,450.0
892,125.0
30265,35.0
12802,249.0
25573,225.0
26134,50.0
18273,500.0
24037,90.0
19479,61.0
26083,66.0
29379,35.0
12523,310.0
10093,100.0
1451,94.0
18018,65.0
9988,26.0
29436,301.0
19965,495.0
26172,23.0
28519,69.0
16944,450.0
2236,98.0
6413,111.0
15639,325.0
17810,169.0
12766,280.0
23139,54.0
6446,70.0
4212,111.0
21640,400.0
4090,249.0
17368,98.0
26900,98.0
23259,94.0
15061,90.0
14358,169.0
25166,150.0
11509,129.0
23011,150.0
25784,89.0
7362,330.0
19763,97.0
5088,369.0
4656,189.0
16788,140.0
30460,27.0
27002,40.0
9476,55.0
29186,70.0
5609,92.0
2959,80.0
12343,100.0
28575,55.0
21222,351.0
23441,80.0
11562,901.0
30228,160.0
26836,164.0
13938,150.0
4034,200.0
1682,700.0
6728,799.0
9136,101.0
15052,450.0
17912,57.0
25396,164.0
7620,500.0
13881,115.0
355,120.0
18002,50.0
12272,600.0
7373,650.0
29782,131.0
